logM_cut,logM1,sigma,alpha,kappa,alpha_c,alpha_s,log10_f_ic
12.5390329231,15.3142444862,0.2464242062,0.6456144744,1.5957457212,0.3660487553,1.3684777206,-1.1216790965
13.2296412818,12.4421984562,1.8468876059,0.4786244995,0.4899615642,1.8723544768,0.0371131716,-0.7983408581
12.3464471626,15.7077447310,1.4225171065,1.3614261705,2.8521531631,0.2452909481,1.3840586040,-1.1578396817
13.0934205262,12.2912214452,1.5975998370,1.4610255336,2.6728834184,0.9186339021,0.4305104757,-1.5734512646
11.3390876890,15.6945181612,2.0865913326,0.9609778987,1.0502492119,1.3350485901,0.3635461813,-0.6250047210
13.9483759746,14.6046692872,1.9778992047,1.0678689767,0.8512528985,0.4143904713,1.2352250432,-0.9529324922
12.6876890126,14.7714409901,2.1624002754,0.3747874841,1.2833753042,0.7106702983,1.1785896692,-0.6596710935
13.7411150358,15.5977250352,2.1145806090,0.8302052989,1.5914953120,1.1830578076,0.5368695278,-2.0471474983
12.2594227887,15.7737856824,0.9883223785,0.4048832848,0.9155167918,0.0591265652,0.4175708307,-1.1781127930
11.9844104714,15.5910642421,1.3888250918,0.5069216474,0.7150072969,1.2006761670,0.7928859357,-1.2371758473
11.3689399221,13.6343744526,2.0825579388,0.4136161460,1.7093386774,1.8318199043,0.3585552813,-1.7586928158
12.0843484390,13.3579958209,1.2565430637,1.7064162554,2.0726953781,1.4652379575,1.0613969758,-1.7574454239
13.2653869247,14.5036494003,1.6316459823,1.0395647740,2.7923468321,0.6886005857,1.8734682601,-1.6169537646
11.3490194975,15.6531324392,2.2846519155,0.7925371893,1.4904397444,0.9221947952,0.9890884474,-2.0088035450
13.6715433215,13.5536831217,2.5194696817,0.8391437557,0.8109519973,0.8885610741,1.7731358139,-1.7394409633
12.2035645257,15.1254006136,2.7957466670,1.7476931274,2.7406876417,1.4950120184,1.9433402776,-1.1882167863
13.8933104717,14.2696494217,2.7294882211,1.5921272958,1.3730311349,0.8153062604,1.6028181690,-0.8550342058
13.1853160342,14.5060707863,1.1346517943,1.9012593590,2.8366860225,1.1730185860,0.1861243471,-0.9308575921
12.5762742297,13.7909320973,2.1800052930,0.9332148569,0.7416149391,0.3219567758,0.2523474162,-1.9408442412
12.9468073026,12.0737838554,0.1496742728,0.8853571918,1.4062406688,0.1126811547,1.7065460108,-1.1231529712
13.7616983254,12.3523359526,1.5893093580,1.8911363987,2.5395018983,0.3412581554,0.4023404205,-0.6042123772
11.7955120111,13.0081884024,0.1551272465,1.1559244029,2.0489088943,0.9361279129,1.0676707844,-0.9540673659
