logM_cut,logM1,sigma,alpha,kappa,alpha_c,alpha_s,log10_f_ic
13.0901936117,13.9304994749,1.7626118292,0.3968680452,1.3529757830,0.1198141672,0.1779502591,-0.9573980092
11.3615658364,12.8405903292,1.6661797720,1.4182880476,1.8108058633,0.6053670930,1.2528679211,-0.6216038912
11.7529187774,14.3241661649,1.9634778197,1.9969834448,1.3849479203,1.5024086617,1.7921960575,-1.8898418744
12.0627257644,12.8418306138,2.8610095083,0.6260690984,0.4444746113,0.8941556097,1.7110962358,-0.8759953585
12.8809797799,14.7937636344,1.6572944126,1.6625597999,1.2958808773,0.8488617705,1.0361472554,-1.6872385449
12.5972167595,13.2633018369,2.3346570671,0.5494446644,0.9634717046,0.8651800449,1.4448785755,-1.3620411897
12.3568846679,14.9188039038,0.2396571691,1.2879416652,2.3232547909,1.4532066951,0.8994847304,-1.9883972470
13.8334776225,14.3864500034,1.7291029151,0.9307624094,2.6593709821,0.8004816960,1.7659875741,-1.2099664284
12.7363640751,13.3091224459,2.1569830837,1.8880745986,2.9264492183,1.7513453872,1.3279591267,-1.5539155041
11.3437724258,15.4258156421,2.0176976278,0.6109734902,2.8749530759,0.4537786826,0.7438938986,-0.6331119855
11.8398228497,14.2874642336,0.1980531370,1.0259539187,1.9619084455,1.3135066576,1.3718624077,-0.9127802682
13.6042236609,14.3613329353,1.0948136251,0.6839253577,2.5969424170,0.6311655198,0.1772759025,-0.8626614689
11.3351035166,13.9378713715,1.7516805697,0.8925775975,1.6255949364,1.2347238653,0.0136636438,-1.0444241681
12.1488589998,13.9223935656,2.9178716110,0.6663463990,1.1508609280,1.5723995043,0.9934369950,-0.7364574805
13.5431184116,15.8957793449,1.0513780649,0.7858994053,0.6119763807,1.3379581975,1.5882986489,-1.4282324727
13.3046442405,15.9780381537,0.1705473016,1.4159422026,2.2576178706,1.1892392398,0.1224133598,-1.2333063606
12.0469057592,12.7247285164,2.6876655449,0.5794597425,0.3327648700,0.7378386915,1.1696017304,-1.6435746863
12.4856110509,14.3377210273,2.0289192185,0.5148342247,2.6357605736,0.9183827225,0.1851546997,-1.4593673897
12.7126737362,14.9054221045,2.3527624089,1.4831157007,1.7542871371,1.9289482644,1.2764140396,-1.0465565944
13.0740959336,13.8432175100,0.9316832641,0.3643292564,1.2454419685,1.8427315385,0.1450043820,-1.0218240925
12.9085046024,15.1459367574,1.5605056531,1.8534701332,2.5748001808,1.8534531577,1.6028895639,-2.0276868931
12.4903154296,12.1863036574,0.6702025949,1.9466499431,1.4694198947,1.9434407536,0.8736829318,-0.8515778444
11.4604173075,14.2060981426,2.5757452351,1.1523073682,1.0539709391,1.9451631530,1.5553297413,-0.7254737042
13.3605941300,12.1128907957,2.1333218121,1.2286704197,2.3060365398,1.1148071504,0.5474406070,-1.1563201387
12.9839672646,15.4633024333,0.5122419188,0.4345138328,0.4358744444,1.4899286548,0.1087244886,-1.3043300462
11.2517926920,13.1154393042,1.0624283597,1.7893386071,0.7505107021,1.6403372084,0.8106415577,-1.3098110941
13.7746341780,12.7236166362,0.4495159250,0.7333249621,0.4575772005,0.9931801668,0.4570065891,-1.9702484263
13.3535650513,14.4083338081,1.6088778393,1.2032022969,0.4552368989,1.2677164602,1.1932070735,-0.8042793748
12.1105902810,15.5920286444,2.5868500401,1.0344720156,2.6501226921,1.5811226862,0.7773066020,-1.5863455878
13.1253423382,12.9483443647,2.0620191362,0.3874602463,1.7949083876,1.7855648070,1.3999966025,-1.8573013063
12.9128454857,15.3878869268,0.1667906741,1.6654188278,1.7881870245,0.8417394783,1.1930279796,-1.0677732245
12.0879002176,13.1746949021,0.0329565911,1.8182024063,2.6632832837,0.2123337448,1.8702406357,-1.5868208592
12.0776489150,12.1298646560,1.2262666975,1.4685323298,2.9873624126,1.9166048259,1.2117504124,-0.9954491246
13.4920210745,12.5351750355,0.8793472228,1.8570132245,0.9793417311,0.8931388289,0.6519894485,-2.0803106631
12.1138524315,14.9125367071,2.0192340816,1.6421267455,0.3618896594,0.2675229474,0.1626904752,-1.3825501617
11.9042550733,14.2166927625,0.1445037872,1.9674167658,0.6279673973,1.6433492833,1.1270382373,-1.4530533734
11.7873269992,14.6083422202,0.7877618690,1.8617249205,2.0313621835,0.9708382642,0.9270774143,-1.8322718076
11.7357387812,15.8366468473,0.4512058636,0.6815055027,1.4543711152,1.3874029424,0.1513264632,-1.0473591747
11.6571046474,13.4287760764,0.2418899744,1.0940393088,2.2292743380,1.4934971870,1.1400994519,-1.8844881271
12.7135379813,14.0242409479,1.5053238879,0.4291469769,2.2827309950,1.6911074775,0.2871815473,-1.7969926940
12.3794889739,12.5468644151,1.4033347539,0.5885895010,1.5250675130,1.8349233167,0.6663229730,-1.8593618175
11.7232978886,13.1846521312,2.3980757448,1.9734148488,2.9599641948,0.1748836726,1.1955938852,-1.3376591971
11.9634413078,13.9288663940,2.3968330019,1.8452294193,1.7854789522,1.4062935466,0.0569903078,-0.7746562403
12.5776579669,13.4842685277,1.6220154208,0.8829780236,1.2785339805,0.5597914192,0.5638826351,-1.2670244702
12.3747826798,15.7209247884,1.3092954328,1.7556010977,1.7045749911,0.5168001439,1.2454300661,-2.0110856562
11.4069516703,13.5896686729,2.8205379704,1.8732143709,0.7850594066,1.6717297889,1.3449953673,-1.1729530331
13.2879110299,13.3771815746,1.3843535622,1.5471085801,2.2421063506,1.6313686781,0.7433985502,-1.0593068262
11.3634836993,14.4550712747,2.3167476229,1.2794056699,1.1543435161,0.5476312114,0.3383275616,-1.2826399099
13.1828329708,12.4087669975,0.4280806399,1.4411126637,2.0382552484,1.1609808507,0.8419738907,-1.3390174174
11.3555764645,13.6827862490,1.1562821992,0.3718121580,1.9696734687,0.4521342173,1.6096269432,-1.8673489020
12.5303194860,12.9870786888,1.5740624874,0.3448297143,2.3491721911,1.3884039619,0.5388030651,-0.9304052709
11.5605049548,13.1203812934,1.0026669472,0.7161518845,1.2485767438,0.1019243746,1.2119944763,-0.7826058326
11.2050285275,12.8503707551,0.1356576559,0.7313287538,1.5541741022,1.8935169214,0.4091418229,-1.3260073797
13.0763717533,15.8659803879,0.7019318421,1.2523481909,0.8788138546,1.1068950545,0.5602042294,-1.8245388726
11.4995471678,13.2095855313,2.3862742425,0.3234435210,2.1153964482,1.2259991370,0.0726199642,-1.7756614303
12.6813730317,13.7751789665,1.2312186797,0.7680354123,0.7586732335,1.1783409705,1.1085751991,-0.8053730777
12.7551854666,12.9407175966,1.6399878998,0.9554092336,1.9627603942,0.5129194042,1.2596015770,-1.6355976476
13.7024053261,12.1038253102,0.4134902626,1.2431541053,1.8254813795,0.3493056895,1.4855340906,-1.3940430489
12.1363791954,14.4584000854,0.7598145048,0.9900477133,1.1117618300,0.0000936471,1.7833516125,-0.6120677384
12.2714348753,14.8742346306,2.1739205498,1.4290744764,2.6013185392,0.6132169548,0.4539743564,-1.9244874016
11.9678909912,14.1820123320,1.5784033411,0.4523010505,2.3301335846,0.6303964952,1.8191477843,-1.7847465133
12.0742473446,13.5114035155,1.6366565708,1.4796950941,0.5076036601,1.1367016735,1.5777547748,-1.5465070206
13.0697516218,15.5723329476,0.8087540979,1.3765836517,1.3456105614,0.1310692566,0.8855388462,-1.2259290904
12.6993279266,15.5162667160,0.2210530141,0.6848739476,2.5005015064,0.1140731701,0.7243672268,-1.3612631419
13.9653185152,13.9362740528,0.1450473914,1.6855529438,1.5365192846,0.9539537728,0.1459019652,-0.9124038819
13.7053715872,13.0410010432,1.5685275392,0.6585217687,1.1138263699,1.5425971582,0.5268650611,-0.6479993521
11.8509941054,12.7465482051,0.7700892386,0.8618572199,0.4719288407,1.7503541165,1.8019027185,-1.6323155797
11.7761266431,15.9176519043,2.9070954552,0.5841693603,1.6091170801,1.8158941011,1.3126020820,-1.0894271888
12.2295622411,12.7743054302,0.3050306935,1.5086060873,2.0044057722,0.3033459469,1.2113391758,-1.5021643819
11.6306184196,15.7996544367,0.0345586717,0.5518861096,0.6439820419,0.4187637719,0.3941740104,-0.9316418986
12.4919775692,12.7008595553,2.8034732605,1.1430967714,0.3630902188,0.9189199613,1.6030927804,-1.5512940155
11.2945689044,14.0234135134,2.8796175839,1.3703775606,1.1451044814,1.9442345471,1.3505043780,-1.8180721131
13.2165574527,15.7083477623,2.6837570645,1.7201734282,0.7262145899,1.6509463979,1.1706466705,-1.3616283646
12.7656220433,15.5136644449,2.3308064267,0.4871070424,1.9101793021,1.3053286051,0.4699185790,-0.7650640296
13.4436513240,14.0352005801,2.9614264816,1.1904311774,1.5947906485,1.5911173772,1.1580987036,-0.9182314797
11.3905393318,14.8019956447,1.5085990492,1.9845023635,2.6664951743,1.2552796181,1.0232634664,-0.9888734434
11.6374046897,12.2870704424,0.2818419703,0.3104179072,2.4309506190,0.2224791280,1.8043260518,-1.2122476791
12.3032666711,13.6292013361,2.0882503229,1.2706124181,2.3515429689,1.4117162477,0.4211456114,-1.7410664248
12.1490725555,14.9537479710,1.3692018051,0.4063576959,0.7976857384,0.6977519886,0.0377286283,-0.7205460833
13.3298568078,13.9945246848,1.8099860862,1.9732680210,1.8221120643,1.0491974746,1.6886145294,-1.3791236366
12.3416694849,12.7916949061,0.1434145818,1.6874858372,1.3037257977,1.4413603571,0.3169515238,-1.6719306613
11.3088860567,12.8045601496,2.2793138984,1.5134930877,1.7999987281,0.9790023508,0.1379328036,-1.0687640045
11.6072391081,15.9244575453,1.9789741942,0.7205643049,1.5578721878,0.7604025605,1.4553928393,-1.3264406874
12.0161754861,12.9475361375,2.7771978767,1.8996192511,0.3150952212,1.2065889634,0.9018787007,-1.8549392674
13.8552006453,15.5795425215,2.2352585106,1.2673174260,0.5656503517,0.4726672540,0.0234029777,-1.1819093398
13.8714487556,15.8505897223,0.5162806661,1.8624694690,1.3862654039,0.2088869919,0.2606818320,-0.7447084585
11.6875328098,14.5152225308,2.2604901312,1.1989119148,0.5614538322,1.6420332681,1.0562077972,-1.0689327917
12.4110020485,13.9273940020,1.2532418745,1.0652753379,2.9911950758,0.8098433348,1.7637799159,-1.3456963306
11.2231244675,13.6626432421,1.0043451502,1.3682826190,1.5382872721,1.7795283319,1.7196200568,-0.6272392282
13.8563160964,13.1676561699,2.2086321172,1.0183414472,0.5886268704,0.1491234487,1.4274946815,-1.2662793356
12.9035966048,15.3026922010,0.6937040449,1.0459017508,2.9421163707,1.7620874135,0.3407150349,-0.8814379329
11.6764119686,15.9266605380,1.0559106943,0.7779346064,1.1284855885,1.8654505706,1.2137027565,-1.0068140271
13.3207447945,15.6052182584,0.0890302498,1.4039611203,1.4015995730,0.1043596056,0.6655499496,-1.8611430333
12.9161311554,12.6081944754,2.7387619731,1.3853396899,2.2988278506,1.9706969136,0.4022361241,-1.4084746415
13.2223353379,14.7617219568,0.8366619262,0.9632868543,1.3912292394,1.0099180220,1.1348478916,-0.8063515385
11.2238102512,13.4330855413,0.2617007503,0.7337204810,0.4399065883,1.5984744267,1.1546307958,-1.2428616119
12.8050371655,14.7841447050,0.2976452460,0.4700697466,1.9489053783,0.4722191552,0.2003800493,-1.0358361956
13.6819682349,15.4052713358,0.2766363036,0.5229662538,1.7530489037,0.1823011822,1.0854372462,-1.8393719178
11.5397374268,12.7400527482,2.8537676688,1.3986341640,2.9961944880,0.8200760507,0.9140540275,-1.3460591466
11.7959152972,15.6479702444,1.5871343329,0.6828486654,2.5931951055,0.3934922880,0.8190999651,-0.7759582987
11.8899363786,13.2372125131,1.7574599944,1.8093419512,1.3341961647,0.1982583393,0.4852013152,-1.2404532777
11.3049313886,13.0068602764,2.0859988550,1.6098068395,0.5419732068,0.2076981640,0.5094996362,-1.6905567575
12.9226985653,15.3369385903,0.3501080594,1.7067462459,2.5052441521,1.0478867490,0.6104200466,-0.6343805173
12.2635103346,14.5333264150,0.5935440818,0.8214577927,0.7847467144,1.5814754925,0.2215979485,-1.6753647915
11.5476276889,13.6473609064,0.7683640658,0.8312796386,1.2944335486,1.4358126825,1.7561106148,-1.0000735119
13.0842633414,14.9395062748,0.7638513628,0.6172672824,2.6096329529,0.5348781607,1.1145914272,-0.8388117974
12.5124935002,13.8061098859,0.1248061595,1.2995676932,0.7538934044,0.6887785557,1.3641500672,-1.2899242573
13.0131377347,15.2800463369,1.8953202707,0.7318781968,1.8868949872,1.3250035931,0.0964222933,-1.2186528477
13.2538387693,12.2270842007,1.0723241221,0.4229184033,2.5342886068,0.4089134481,0.0004297904,-1.9761461629
11.3472055401,13.7480468020,2.9115087678,1.3001039171,1.2245842380,0.6222249271,1.9728364303,-1.8032258556
12.0945575627,15.4969136096,1.4080184625,1.9498957154,1.2863494092,0.6869757703,0.9631630272,-1.2335901584
11.3543565676,12.6968820716,1.6807601492,0.6689882545,1.7260516466,1.4778859191,1.2844279039,-1.2695544337
11.2817925031,13.5823992045,1.3062326382,1.8516107218,1.9671938357,1.2629982019,1.5826580623,-2.0709259273
11.2170775114,13.2214657070,1.2632869981,1.8711058879,1.2073922307,0.5258486145,0.7472828946,-1.2151252444
13.9576262288,12.3177201643,0.4074336095,1.2783980859,1.6065243886,0.1626404203,1.9692753397,-1.8289361283
13.1202408059,12.8987254107,0.4729666411,0.4733121886,2.8863003485,0.7496660466,1.6546361310,-1.5232645619
11.2571775392,15.4340056650,2.3682011335,1.0927875115,1.2734387516,1.6912838067,1.1187100280,-1.4550295448
13.2237489230,14.5698587980,2.9943153937,1.6641932693,1.4552748326,0.7341244803,1.8409181920,-1.3660590811
11.9764133709,13.8959065680,0.1009399299,0.9335574030,1.6595465378,1.3646972720,0.8416131714,-1.7787497723
12.7850013876,12.2098433318,1.5340171374,1.9404371828,2.5338572506,0.8383775883,0.0635255985,-1.9263613922
12.6582569152,15.5807868331,2.5113909272,1.7725034639,2.7063551358,0.4355272322,0.3647708180,-2.0514519396
13.5265188223,12.1084922982,1.8850705187,0.5698903721,2.1917694120,0.7826825051,1.7547958985,-1.1046583042
11.3617426629,12.5792760186,2.0235623183,1.8066553994,1.0601172161,0.8748917509,1.3398587401,-0.8003526799
12.5143592328,15.1985064130,0.1847596037,1.5889156970,2.9844833819,1.3977534368,1.8627385317,-1.0801072627
11.9872550306,15.0288716363,1.2263074905,1.3019576588,1.7709499679,0.5914281317,1.9460965012,-1.5546115566
13.4522501165,15.4417301859,2.1193917057,0.7834229566,2.9862088416,0.0753537281,0.3931577424,-1.1281884509
12.1328730186,13.1053481526,0.2286685853,1.5473790969,2.9618212841,0.5350571312,1.2646966260,-0.9393110336
11.5470191749,15.8210110447,0.6868456418,0.3578891071,0.5211705032,0.0691905488,1.1398110842,-1.7059330591
12.6214240011,12.4063609599,0.6334435613,1.5313883076,2.2227243830,0.2315422590,0.2574167964,-2.0752456832
11.3510642842,15.7657496814,1.3710230569,1.4202761884,2.1742262497,1.7519222559,1.8616304666,-0.9885894010
13.9615755404,14.8671742896,1.3166698521,1.8551498146,1.1429092029,1.5205092292,1.0790099410,-1.5062540216
13.5845704986,13.2993345980,1.5412377574,1.0232076270,1.1863006751,0.9397831134,1.4003269484,-1.9635249624
11.2112239128,14.8147799915,1.4587022631,0.4726388224,0.7273835342,0.9168361790,1.9586180749,-1.2142322112
13.5271145357,13.8742948082,0.2827429497,1.4803366450,1.2647940272,1.3511618931,1.1849761700,-0.6912300325
13.1708149486,12.4472625000,0.9977560045,0.7610525937,2.5876599733,0.9829543192,0.3838795805,-0.7750477302
12.1084682120,15.2716523155,1.9683074644,1.0412253668,1.2308627474,0.2379533349,1.5903305396,-2.0179660843
13.0068051713,12.4722070658,0.0467885068,1.8637336959,0.8262970320,1.2125223222,0.7665550550,-0.9846299975
12.0527416382,14.3467367406,0.7786112657,1.3300109439,0.4884837839,1.9269835943,0.6251814265,-2.0929770248
13.4783631122,14.0698002530,1.5528240845,1.1143177994,0.4936289290,0.3443442684,1.1115897212,-2.0323461143
13.3139680884,15.5695493711,1.8785769082,0.3493696772,1.5903073721,0.3983255737,1.2951865463,-1.5351264070
13.7952897458,13.4270050115,2.6149049916,1.0612476375,2.7363196726,1.6337995838,1.2231427112,-1.6559551661
13.6704926169,15.5432411269,1.3974287366,0.8173640018,1.6916326631,1.7459566013,1.1337187307,-1.2206169038
11.4577436776,12.2516477040,0.9151281660,0.5093959191,1.5812519989,1.2663261974,1.6261272152,-1.9511173187
12.3169555557,15.4162584588,0.4712146226,1.5254892989,1.3616165338,0.0324013274,0.7910202079,-0.9615541527
11.9453077079,13.7694653236,0.5792760457,1.9836366875,1.2614435639,0.5638094250,1.2669645111,-1.1058249463
11.4719907098,12.7106086638,0.2023362493,1.5662299427,2.1053622350,0.5870741331,0.0289860715,-0.6180769917
13.8675148800,12.4826313310,1.6776015767,0.5333472137,0.4537052266,0.2609995564,0.5376182517,-1.2262500380
12.5801427521,14.1575741317,1.6519373745,0.7850329291,2.7712067595,0.7554059218,0.4959836224,-1.2551680416
11.8604865743,14.9509245304,2.1033147124,0.7279158419,1.6332504314,0.2975898019,1.4582002420,-1.5514847026
12.5749666442,13.7996283445,1.3554648974,1.6816641037,2.5378575091,1.2711131288,0.0991830317,-1.9546763893
12.2846489545,14.9178853681,2.1431918437,0.6253135328,0.7098788800,1.7058953411,1.7355044651,-1.9857837417
11.7015306174,13.9278405120,0.0909263113,1.9291137867,1.3996556855,1.4124980249,1.6511865340,-1.3472174169
13.0961827334,12.0748327257,1.0106638136,0.9343321586,0.4054282969,0.2167214710,0.1653534264,-1.9566637558
13.6335541439,15.4659465661,2.6030085840,0.6633991090,2.6081308606,1.3045600978,0.2891018708,-2.0157979673
12.4495478703,12.9753601802,1.9802245451,1.9140125174,2.2966610610,0.5591575745,0.9165378784,-1.3234478131
13.3315039248,14.1937827058,0.1064683547,0.8755624800,0.8586795335,0.0717590843,1.9242646695,-2.0741721986
13.2061631025,15.0373601270,2.0131143340,1.3203064205,2.3357703446,0.9827391297,1.4455005773,-0.6636931975
13.1032655276,15.4290210252,2.2892782684,0.6466386332,0.3933314978,0.8797330924,1.4864144883,-0.6212783779
13.4795795037,13.5459785939,1.1325227597,0.5438320307,0.4096717784,0.3509535863,1.5965769743,-1.8641972475
12.5868273267,14.2298724752,1.7542491278,0.7100527766,2.4517217464,0.1708374698,0.9493588296,-1.8693699045
12.2641710206,15.8630824117,1.2147338517,1.1537832044,2.2627902593,1.4714413753,1.8437349539,-0.9771898946
